Symbol,CompanyName,ValuePurchased,ReportedBuyQty,ReportedBuyTxn,acqtoDt,TotalQty,NumBuyTxn,PricedValuePurchased,AvgPrice,MissingValueQty,MissingValueTxn,ValueCr,MarketBuyValue,MarketSellValue,NetBuyValue,SellBuyRatioPct,HasMarketSell,SellBuyExclusion,HasPledging,LastPrice,PromoHolding,DMA50,DMA200,SixMonthReturn,PriceDiffPct,AbsDiffPct,MarketCapCr,PE,RevGrowthPct,EBITDAGrowthPct,PATGrowthPct,EPSGrowthPct,ROCEPct,DE_Ratio,OCFPositive,OPMPct,PromoConvictionPct,ScorePromo,ScoreFund,ScoreTech,ScoreRisk,Score,Category
GANESHCP,Ganesh Consumer Products Limited,83735000.0,419200.0,7,02-09-2026,419200.0,7,83735000.0,199.75,0.0,0,8.37,83735000.0,0.0,83735000.0,0.0,False,False,False,174.46,64.08,174.67,197.84,-6.1,-12.7,12.7,708.0,15.6,-1.0,21.0,45.0,3.1,19.4,0.07,True,11.0,1.182,20,25,0,0,45,Watchlist
PNGSREVA,PNGS Reva Diamond Jewellery Limited,80168880.0,210238.0,4,25-06-2026,205238.0,3,80168880.0,390.61,5000.0,1,8.02,80168880.0,0.0,80168880.0,0.0,False,False,False,516.35,63.09,475.99,,25.4,32.2,32.2,1638.0,19.4,581.0,34.0,881.0,8.58,22.0,0.33,False,29.0,0.49,20,24,20,0,64,Buy on Breakout
APLLTD,Alembic Pharmaceuticals Limited,76922116.0,103110.0,3,18-06-2026,103110.0,3,76922116.0,746.02,0.0,0,7.69,76922116.0,0.0,76922116.0,0.0,False,False,False,808.2,69.61,821.6,789.94,14.6,8.3,8.3,15877.0,20.1,16.0,346.0,88.0,10.02,12.3,0.21,True,19.0,0.048,20,26,25,0,71,Strong Buy Setup
AJMERA,AJMERA REALTY & INFRA INDIA LIMITED,73623440.0,641000.0,4,04-06-2026,641000.0,4,73623440.0,114.86,0.0,0,7.36,73623440.0,0.0,73623440.0,0.0,False,False,False,117.76,69.74,124.36,305.71,-8.9,2.5,2.5,2315.0,19.9,18.0,46.0,-4.0,1.17,14.2,0.46,False,38.0,0.318,25,13,5,0,43,Watchlist
THANGAMAYL,THANGAMAYIL JEWELLERY LIMITED,72054758.0,13860.0,6,31-08-2026,13860.0,6,72054758.0,5198.76,0.0,0,7.21,72054758.0,0.0,72054758.0,0.0,False,False,False,5332.0,67.16,5866.47,4325.28,38.6,2.6,2.6,16604.0,42.3,83.0,145.0,264.0,27.38,25.5,0.64,True,5.0,0.043,20,32,20,0,72,Strong Buy Setup
STEL,STEL HOLDINGS LIMITED,60400481.0,104000.0,44,31-08-2026,104000.0,44,60400481.0,580.77,0.0,0,6.04,60400481.0,0.0,60400481.0,0.0,False,False,False,607.9,64.68,573.98,509.36,19.1,4.7,4.7,1125.0,57.3,21.0,-0.11,23.0,-0.07,1.58,0.0,False,-110.0,0.537,20,15,25,-2,58,Buy on Breakout
NAVA,NAVA LIMITED,55527014.0,98000.0,3,03-09-2026,98000.0,3,55527014.0,566.6,0.0,0,5.55,55527014.0,0.0,55527014.0,0.0,False,False,False,560.2,48.85,577.67,583.53,-2.9,-1.1,1.1,15874.0,22.7,18.0,152.0,61.0,9.39,16.5,0.01,True,29.0,0.035,15,30,0,0,45,Watchlist
HCLTECH,HCL Technologies Limited,52192113.0,47261.0,1,12-06-2026,47261.0,1,52192113.0,1104.34,0.0,0,5.22,52192113.0,0.0,52192113.0,0.0,False,False,False,1293.4,60.82,1266.49,1390.21,-5.7,17.1,17.1,353329.0,19.4,7.0,4158.0,44.0,25.89,53.4,0.04,True,29.0,0.001,12,30,10,0,52,Buy on Breakout
AURUM,Aurum PropTech Limited,49536217.0,255000.0,12,29-06-2026,255000.0,12,49536217.0,194.26,0.0,0,4.95,49536217.0,0.0,49536217.0,0.0,False,False,False,225.16,50.34,227.54,190.62,32.8,15.9,15.9,1627.0,252.0,-48.0,-3.0,2250.0,6.59,1.28,0.01,False,-5760.0,0.304,20,10,25,-5,50,Buy on Breakout
NCLIND,NCL INDUSTRIES LIMITED,49458845.0,280945.0,33,02-09-2026,280945.0,33,49458845.0,176.04,0.0,0,4.95,49458845.0,0.0,49458845.0,0.0,False,False,False,177.81,44.48,180.81,184.96,-3.4,1.0,1.0,803.0,6.48,4.0,40.0,191.0,3.81,14.6,0.25,True,12.0,0.616,20,21,5,0,46,Watchlist
PREMIERPOL,PREMIER POLYFILM LIMITED,39432691.0,698178.0,4,17-06-2026,698178.0,4,39432691.0,56.48,0.0,0,3.94,39432691.0,5525660.0,33907031.0,14.01,True,False,False,95.36,67.46,76.56,57.98,82.0,68.8,68.8,999.0,28.6,19.0,13.52,34.0,0.87,30.8,0.0,True,15.38,0.394,23,25,30,0,78,Strong Buy Setup
LIBERTSHOE,LIBERTY SHOES LIMITED,34642450.0,135000.0,7,19-08-2026,135000.0,7,34642450.0,256.61,0.0,0,3.46,34642450.0,2774200.0,31868250.0,8.01,True,False,False,233.27,58.5,256.33,257.81,0.8,-9.1,9.1,397.0,46.6,6.0,13.51,-39.0,0.4,7.91,0.71,True,7.95,0.872,18,6,5,0,29,Avoid
PARADEEP,PARADEEP PHOSPHATES LIMITED,34603343.0,245273.0,3,19-08-2026,245273.0,3,34603343.0,141.08,0.0,0,3.46,34603343.0,0.0,34603343.0,0.0,False,False,False,157.0,56.08,146.72,136.74,37.1,11.3,11.3,16319.0,15.0,28.0,720.0,14.0,3.78,15.4,1.02,False,12.0,0.021,15,14,30,0,59,Buy on Breakout
GEMAROMA,Gem Aromatics Limited,34481167.0,228760.0,2,04-06-2026,228760.0,2,34481167.0,150.73,0.0,0,3.45,34481167.0,0.0,34481167.0,0.0,False,False,False,161.5,55.06,181.98,171.32,-18.9,7.1,7.1,850.0,31.0,-22.0,8.51,-44.0,1.39,9.1,0.19,True,10.25,0.406,17,9,15,0,41,Watchlist
KCP,KCP LIMITED,33608678.0,208674.0,8,30-06-2026,208674.0,8,33608678.0,161.06,0.0,0,3.36,33608678.0,5240000.0,28368678.0,15.59,True,False,False,162.38,43.93,164.18,166.87,1.3,0.8,0.8,2087.0,17.7,10.0,18.51,186.0,0.04,14.3,0.49,True,4.76,0.161,13,21,10,-2,42,Watchlist
RGL,Renaissance Global Limited,30063761.0,297965.0,2,11-06-2026,297965.0,2,30063761.0,100.9,0.0,0,3.01,30063761.0,0.0,30063761.0,0.0,False,False,False,149.26,69.56,123.6,115.48,31.8,47.9,47.9,1598.0,55.7,7.0,22.0,0.0,0.95,5.28,0.52,True,5.0,0.188,17,11,30,0,58,Buy on Breakout
BAJAJHCARE,BAJAJ HEALTHCARE LIMITED,29730147.0,100000.0,1,12-06-2026,100000.0,1,29730147.0,297.3,0.0,0,2.97,29730147.0,0.0,29730147.0,0.0,False,False,False,321.45,67.69,335.35,346.95,-0.8,8.1,8.1,1076.0,19.1,12.0,29.0,20.0,4.07,11.5,0.47,True,17.0,0.276,22,21,5,0,48,Watchlist
SINCLAIR,SINCLAIRS HOTELS LIMITED,29227453.0,376663.0,7,03-09-2026,376663.0,7,29227453.0,77.6,0.0,0,2.92,29227453.0,0.0,29227453.0,0.0,False,False,False,83.5,62.78,76.16,78.2,9.9,7.6,7.6,430.0,39.9,21.0,8.39,-19.0,1.54,8.73,0.28,True,41.64,0.679,20,14,25,0,59,Buy on Breakout
ASHAPURMIN,ASHAPURA MINECHEM LIMITED,29200553.0,50000.0,2,27-08-2026,50000.0,2,29200553.0,584.01,0.0,0,2.92,29200553.0,0.0,29200553.0,0.0,False,False,False,551.0,45.33,647.12,658.6,5.5,-5.7,5.7,5259.0,34.8,9.0,33.0,67.0,2.59,36.6,0.12,True,30.0,0.056,12,25,5,0,42,Watchlist
SESHAPAPER,SESHASAYEE PAPER AND BOARDS LIMITED,27753590.0,122664.0,4,30-07-2026,122664.0,4,27753590.0,226.26,0.0,0,2.78,27753590.0,0.0,27753590.0,0.0,False,False,False,233.09,42.78,228.72,241.87,-13.2,3.0,3.0,1465.0,17.4,6.0,44.0,1.0,5.33,5.09,0.0,True,9.0,0.19,15,14,10,0,39,Fundamental Watch
