Symbol,CompanyName,ValuePurchased,ReportedBuyQty,ReportedBuyTxn,acqtoDt,TotalQty,NumBuyTxn,PricedValuePurchased,AvgPrice,MissingValueQty,MissingValueTxn,ValueCr,MarketBuyValue,MarketSellValue,NetBuyValue,SellBuyRatioPct,HasMarketSell,SellBuyExclusion,HasPledging,LastPrice,PromoHolding,DMA50,DMA200,SixMonthReturn,PriceDiffPct,AbsDiffPct,MarketCapCr,PE,RevGrowthPct,EBITDAGrowthPct,PATGrowthPct,EPSGrowthPct,ROCEPct,DE_Ratio,OCFPositive,OPMPct,PromoConvictionPct,ScorePromo,ScoreFund,ScoreTech,ScoreRisk,Score,Category
TIGERLOGS,Tiger Logistics (India) Limited,8772025.0,254000.0,13,24-08-2026,254000.0,13,8772025.0,34.54,0.0,0,0.88,8772025.0,0.0,8772025.0,0.0,False,False,False,28.61,61.81,30.34,32.99,-4.7,-17.2,17.2,298.0,15.7,16.0,2.79,-30.0,0.21,17.6,0.31,False,1.83,0.295,20,12,0,-2,30,Fundamental Watch
SAHLIBHFI,Shalibhadra Finance Limited,8294696.0,100000.0,1,05-06-2026,100000.0,1,8294696.0,82.95,0.0,0,0.83,8294696.0,0.0,8294696.0,0.0,False,False,False,89.52,55.35,77.93,,6.2,7.9,7.9,277.0,14.0,15.0,,16.0,1.59,14.6,0.33,False,,0.3,17,10,15,0,42,Watchlist
BHAGERIA,Bhageria Industries Limited,8227124.0,37774.0,5,26-08-2026,37774.0,5,8227124.0,217.8,0.0,0,0.82,8227124.0,0.0,8227124.0,0.0,False,False,False,304.65,71.75,218.77,182.66,99.5,39.9,39.9,1337.0,18.0,55.0,40.0,54.0,8.23,11.0,0.01,True,14.0,0.061,20,26,30,0,76,Strong Buy Setup
SRHHYPOLTD,Sree Rayalaseema Hi-Strength Hypo Limited,7888642.0,16359.0,6,02-09-2026,16359.0,6,7888642.0,482.22,0.0,0,0.79,7888642.0,0.0,7888642.0,0.0,False,False,False,531.05,62.09,490.48,488.21,16.5,10.1,10.1,908.0,8.93,7.0,30.0,0.0,14.66,14.4,0.01,True,14.0,0.087,15,14,30,0,59,Buy on Breakout
OMPOWER,Om Power Transmission Limited,7447179.0,40763.0,3,24-06-2026,40763.0,3,7447179.0,182.69,0.0,0,0.74,7447179.0,0.0,7447179.0,0.0,False,False,False,175.68,69.05,170.81,,-9.2,-3.8,3.8,600.0,14.2,61.0,15.0,82.0,3.07,42.7,0.35,False,12.0,0.123,20,19,5,0,44,Watchlist
TTL,T T LIMITED,7446804.0,1134488.0,12,03-09-2026,1134488.0,12,7446804.0,6.56,0.0,0,0.74,7446804.0,0.0,7446804.0,0.0,False,False,False,6.81,58.66,6.45,7.91,-26.5,3.8,3.8,175.0,330.0,-14.0,2.64,124.0,0.03,5.82,0.64,False,5.69,0.423,20,7,10,-3,34,Fundamental Watch
VSTL,VIBHOR STEEL TUBES LIMITED,7207168.0,63496.0,13,03-09-2026,63496.0,13,7207168.0,113.51,0.0,0,0.72,7207168.0,0.0,7207168.0,0.0,False,False,False,117.66,73.48,111.23,119.54,4.8,3.7,3.7,226.0,26.9,21.0,12.07,-29.0,1.02,7.92,0.98,True,4.11,0.319,25,11,15,-2,49,Watchlist
BLBLIMITED,BLB LIMITED,6563059.0,409452.0,6,02-09-2026,409452.0,6,6563059.0,16.03,0.0,0,0.66,6563059.0,0.0,6563059.0,0.0,False,False,False,16.68,45.35,16.03,15.86,-3.2,4.1,4.1,,3.15,117.0,9.95,311.0,1.05,40.2,0.0,True,10.67,,15,25,20,0,60,Buy on Breakout
RSL,RAJPUTANA STAINLESS LIMITED,6545735.0,50000.0,1,16-06-2026,50000.0,1,6545735.0,130.91,0.0,0,0.65,6545735.0,0.0,6545735.0,0.0,False,False,False,181.5,57.03,148.15,,60.6,38.6,38.6,1516.0,25.8,8.0,29.0,25.0,2.42,25.2,0.19,True,9.0,0.043,12,25,15,0,52,Buy on Breakout
WCIL,WESTERN CARRIERS (INDIA) LIMITED,6289883.0,62691.0,5,30-06-2026,62691.0,5,6289883.0,100.33,0.0,0,0.63,6289883.0,0.0,6289883.0,0.0,False,False,False,83.38,71.89,90.55,103.31,-23.6,-16.9,16.9,855.0,23.3,9.0,18.68,-36.0,0.85,6.79,0.26,False,4.02,0.074,20,8,0,-2,26,Avoid
FOCUS,Focus Lighting And Fixtures Limited,5331774.0,80165.0,1,27-08-2026,80165.0,1,5331774.0,66.51,0.0,0,0.53,5331774.0,0.0,5331774.0,0.0,False,False,False,63.37,56.8,72.99,74.63,-1.1,-4.7,4.7,427.0,69.7,13.0,6.15,-54.0,0.42,6.55,0.16,True,13.36,0.124,12,9,0,-3,18,Avoid
LYKALABS,Lyka Labs Limited,4975280.0,70143.0,6,29-06-2026,70143.0,6,4975280.0,70.93,0.0,0,0.5,4975280.0,0.0,4975280.0,0.0,False,False,False,78.36,54.81,69.48,67.89,29.1,10.5,10.5,281.0,,0.0,4.59,-215.0,0.58,-4.65,0.56,True,10.85,0.178,15,6,30,0,51,Buy on Breakout
UYFINCORP,U. Y. Fincorp Limited,4960333.0,236123.0,3,19-08-2026,236123.0,3,4960333.0,21.01,0.0,0,0.5,4960333.0,0.0,4960333.0,0.0,False,False,False,19.73,70.87,18.44,15.17,43.2,-6.1,6.1,375.0,6.06,118.0,,391.0,1.03,18.5,0.01,False,,0.133,20,19,20,0,59,Buy on Breakout
SHAKTIPUMP,SHAKTI PUMPS (INDIA) LIMITED,4945348.0,9000.0,1,16-06-2026,9000.0,1,4945348.0,549.48,0.0,0,0.49,4945348.0,0.0,4945348.0,0.0,False,False,False,473.0,56.22,528.13,574.64,-5.9,-13.9,13.9,5835.0,30.3,13.0,59.0,-52.0,3.48,24.3,0.26,True,7.0,0.008,12,18,0,0,30,Fundamental Watch
ASAHIINDIA,ASAHI INDIA GLASS LIMITED,4251250.0,5000.0,1,29-06-2026,5000.0,1,4251250.0,850.25,0.0,0,0.43,4251250.0,0.0,4251250.0,0.0,False,False,False,955.9,54.23,909.3,913.7,12.3,12.4,12.4,24393.0,56.3,10.0,317.0,35.0,5.94,11.1,0.52,True,24.0,0.002,12,18,20,0,50,Buy on Breakout
SHYAMCENT,SHYAM CENTURY FERROUS LIMITED,4245478.0,758224.0,3,30-06-2026,758224.0,3,4245478.0,5.6,0.0,0,0.42,4245478.0,0.0,4245478.0,0.0,False,False,False,5.03,51.7,5.26,5.39,2.2,-10.2,10.2,106.0,,-92.0,-2.42,44.0,-0.04,-7.4,0.01,False,-733.33,0.396,20,10,5,-2,33,Fundamental Watch
NRL,NUPUR RECYCLERS LIMITED,4186225.0,50400.0,1,24-06-2026,50400.0,1,4186225.0,83.06,0.0,0,0.42,4186225.0,0.0,4186225.0,0.0,False,False,False,126.92,72.53,109.48,70.58,141.6,52.8,52.8,877.0,93.7,15.0,1.43,82.0,0.34,9.71,-0.0,True,3.67,0.048,17,16,25,-5,53,Buy on Breakout
LANDMARK,Landmark Cars Limited,4168332.0,10000.0,2,10-06-2026,10000.0,2,4168332.0,416.83,0.0,0,0.42,4168332.0,0.0,4168332.0,0.0,False,False,False,510.15,52.87,503.83,448.39,25.7,22.4,22.4,2112.0,47.3,26.0,26.0,-1.0,2.8,9.59,0.19,True,14.0,0.02,12,19,30,0,61,Buy on Breakout
SENCO,SENCO GOLD LIMITED,4081958.0,12170.0,2,18-08-2026,12170.0,2,4081958.0,335.41,0.0,0,0.41,4081958.0,0.0,4081958.0,0.0,False,False,False,358.65,68.48,364.63,333.67,16.8,6.9,6.9,5885.0,9.95,43.0,223.0,175.0,6.97,21.4,1.03,False,7.0,0.007,17,21,25,0,63,Buy on Breakout
INDOCO,INDOCO REMEDIES LIMITED,3412460.0,14000.0,4,01-09-2026,14000.0,4,3412460.0,243.75,0.0,0,0.34,3412460.0,0.0,3412460.0,0.0,False,False,False,262.51,58.75,236.45,223.03,30.8,7.7,7.7,2415.0,112.0,13.0,42.0,141.0,8.92,4.33,0.69,True,10.0,0.014,15,18,30,-3,60,Buy on Breakout
ASAHISONG,ASAHI SONGWON COLORS LIMITED,3381000.0,10000.0,1,11-08-2026,10000.0,1,3381000.0,338.1,0.0,0,0.34,3381000.0,0.0,3381000.0,0.0,False,False,False,372.65,66.73,328.07,261.74,69.5,10.2,10.2,437.0,12.9,-8.0,24.0,33.0,14.36,9.94,0.23,True,18.0,0.078,17,21,25,0,63,Buy on Breakout
HEXAGON,HEXAGON NUTRITION LIMITED,3054917.0,47700.0,3,17-08-2026,47700.0,3,3054917.0,64.04,0.0,0,0.31,3054917.0,0.0,3054917.0,0.0,False,False,False,67.23,64.29,67.47,,,5.0,5.0,836.0,20.0,,12.31,,0.8,,0.11,True,12.14,0.037,15,9,5,0,29,Avoid
EXCELSOFT,Excelsoft Technologies Limited,2961200.0,40000.0,2,04-09-2026,40000.0,2,2961200.0,74.03,0.0,0,0.3,2961200.0,0.0,2961200.0,0.0,False,False,False,70.23,59.08,75.97,,-12.9,-5.1,5.1,809.0,16.6,27.0,12.33,10.0,0.75,13.5,0.01,True,15.35,0.037,12,14,0,0,26,Avoid
TAINWALCHM,TAINWALA CHEMICALS AND PLASTICS (INDIA) LIMITED,2898277.0,13781.0,6,01-09-2026,13781.0,6,2898277.0,210.31,0.0,0,0.29,2898277.0,0.0,2898277.0,0.0,False,False,False,213.71,67.04,207.71,195.15,11.4,1.6,1.6,200.0,24.8,12.0,0.03,16.0,0.03,7.91,0.0,False,3.16,0.145,20,10,25,-2,53,Buy on Breakout
SUPERSPIN,SUPER SPINNING MILLS LIMITED,2586146.0,459656.0,4,31-08-2026,459656.0,4,2586146.0,5.63,0.0,0,0.26,2586146.0,0.0,2586146.0,0.0,False,False,False,6.95,42.8,5.81,6.37,12.1,23.4,23.4,,1274.0,-4.0,1.05,101.0,0.1,2.96,0.31,True,70.0,,15,16,25,-3,53,Buy on Breakout
INDIQUBE,Indiqube Spaces Limited,2543624.0,15500.0,4,24-06-2026,15500.0,4,2543624.0,164.1,0.0,0,0.25,2543624.0,0.0,2543624.0,0.0,False,False,False,194.54,60.6,179.31,178.3,12.1,18.5,18.5,4162.0,,39.0,258.0,30.0,-1.13,6.38,10.11,True,61.0,0.006,15,23,30,0,68,Strong Buy Setup
ALICON,ALICON CASTALLOY LIMITED,2266406.0,3500.0,2,10-06-2026,3500.0,2,2266406.0,647.54,0.0,0,0.23,2266406.0,0.0,2266406.0,0.0,False,False,False,684.2,55.72,680.97,723.94,-8.6,5.7,5.7,1127.0,25.8,19.0,58.0,31.0,10.76,10.5,0.56,True,10.0,0.02,12,23,15,0,50,Buy on Breakout
LIBAS,Libas Consumer Products Limited,2096820.0,195542.0,6,02-09-2026,195542.0,6,2096820.0,10.72,0.0,0,0.21,2096820.0,0.0,2096820.0,0.0,False,False,False,10.46,30.7,10.35,10.93,3.8,-2.4,2.4,,7.65,-9.0,1.55,338.0,0.35,6.49,0.26,True,15.26,,15,16,10,0,41,Watchlist
