Symbol,CompanyName,ValuePurchased,TotalQty,NumBuyTxn,acqtoDt,AvgPrice,ValueCr,HasPledging,HasMarketSell,LastPrice,PromoHolding,DMA50,DMA200,SixMonthReturn,PriceDiffPct,AbsDiffPct,MarketCapCr,PE,RevGrowthPct,EBITDAGrowthPct,PATGrowthPct,EPSGrowthPct,ROCEPct,DE_Ratio,OCFPositive,OPMPct,PromoConvictionPct,ScorePromo,ScoreFund,ScoreTech,ScoreRisk,Score,Category
MOTOGENFIN,THE MOTOR & GENERAL FINANCE LIMITED,14837873.0,508521.0,18,25-06-2026,29.18,1.48,False,False,26.07,69.03,28.01,24.6,20.6,-10.7,10.7,101.0,72.6,-1.0,0.4,26.0,0.59,-0.18,0.0,False,21.51,1.465,25,10,15,-3,47,Watchlist
DOLLAR,DOLLAR INDUSTRIES LIMITED,14833500.0,55000.0,1,24-06-2026,269.7,1.48,False,False,273.45,73.09,263.97,298.67,-17.2,1.4,1.4,1551.0,14.0,6.0,46.0,18.0,4.31,13.6,0.28,True,12.0,0.095,17,21,10,0,48,Watchlist
BMWVENTLTD,BMW VENTURES LIMITED,14131069.0,235000.0,3,06-08-2026,60.13,1.41,False,False,57.54,73.01,58.42,59.72,-7.7,-4.3,4.3,497.0,12.4,19.0,21.0,20.0,1.22,12.0,0.58,True,3.4,0.284,25,23,0,-2,46,Watchlist
NURECA,NURECA LIMITED,14123718.0,45313.0,7,31-07-2026,311.69,1.41,False,False,346.0,63.24,273.43,274.64,19.5,11.0,11.0,330.0,152.0,22.0,2.45,264.0,2.55,2.07,0.01,False,6.06,0.427,20,15,25,-3,57,Buy on Breakout
CHEMBONDCH,CHEMBOND CHEMICALS LIMITED,14030000.0,61000.0,4,06-08-2026,230.0,1.4,False,False,267.0,67.65,227.05,172.24,74.9,16.1,16.1,724.0,60.5,3.0,2.99,97.0,1.0,11.6,0.0,True,16.21,0.193,20,16,30,-3,63,Buy on Breakout
LYKALABS,Lyka Labs Limited,13897427.0,196253.0,16,29-06-2026,70.81,1.39,False,False,66.7,54.81,68.03,69.4,-4.8,-5.8,5.8,241.0,,0.0,4.59,-215.0,0.58,-4.65,0.56,True,10.85,0.577,20,6,0,0,26,Avoid
VIVIANA,VIVIANA POWER TECH LIMITED,12408320.0,15222.0,3,29-06-2026,815.16,1.24,False,False,706.95,73.2,773.55,,,-13.3,13.3,710.0,12.9,185.0,11.55,204.0,6.84,50.7,0.81,True,16.07,0.175,20,22,0,0,42,Watchlist
SBCL,SHIVALIK BIMETAL CONTROLS LIMITED,12274728.0,18070.0,5,11-06-2026,679.29,1.23,False,False,1040.0,51.09,774.63,560.81,101.6,53.1,53.1,5991.0,68.3,7.0,36.0,14.0,4.58,25.3,0.09,True,28.0,0.021,15,18,30,-3,60,Buy on Breakout
VISAKAIND,Visaka Industries Limited,9980229.0,135049.0,8,18-06-2026,73.9,1.0,False,False,95.2,48.42,82.13,70.98,40.2,28.8,28.8,825.0,12.2,11.0,88.0,439.0,5.79,7.03,0.36,True,15.0,0.121,15,21,30,0,66,Strong Buy Setup
SHAKTIPUMP,SHAKTI PUMPS (INDIA) LIMITED,9890696.0,18000.0,2,16-06-2026,549.48,0.99,False,False,500.3,56.22,544.51,597.23,-23.2,-9.0,9.0,6174.0,32.1,13.0,59.0,-52.0,3.48,24.3,0.26,True,7.0,0.016,12,18,0,0,30,Fundamental Watch
OMPOWER,Om Power Transmission Limited,7447179.0,40763.0,3,24-06-2026,182.69,0.74,False,False,172.0,69.05,173.99,,-12.1,-5.9,5.9,582.0,13.8,61.0,15.0,82.0,3.07,42.7,0.35,False,12.0,0.127,20,19,0,0,39,Fundamental Watch
MAZDA,MAZDA LIMITED,6747544.0,28000.0,4,18-06-2026,240.98,0.67,False,False,236.0,48.34,231.42,219.2,8.0,-2.1,2.1,471.0,15.7,17.0,7.34,11.0,3.66,15.6,0.0,False,9.14,0.142,15,12,20,0,47,Watchlist
TIGERLOGS,Tiger Logistics (India) Limited,6569275.0,179000.0,10,30-06-2026,36.7,0.66,False,False,25.45,61.81,32.38,33.97,-24.8,-30.7,30.7,269.0,14.2,16.0,2.79,-30.0,0.21,17.6,0.31,False,1.83,0.245,15,12,0,-2,25,Avoid
RSL,RAJPUTANA STAINLESS LIMITED,6545735.0,50000.0,1,16-06-2026,130.91,0.65,False,False,164.86,57.03,135.6,,46.4,25.9,25.9,1382.0,23.5,8.0,29.0,25.0,2.42,25.2,0.19,True,9.0,0.047,12,25,15,0,52,Buy on Breakout
AVONMORE,AVONMORE CAPITAL & MANAGEMENT SERVICES LIMITED,6349699.0,560000.0,2,11-08-2026,11.34,0.63,False,False,12.45,69.12,10.47,13.76,-17.4,9.8,9.8,348.0,1124.0,-61.0,,-98.0,0.01,2.46,0.44,True,,0.181,17,9,15,-3,38,Fundamental Watch
WCIL,WESTERN CARRIERS (INDIA) LIMITED,6289883.0,62691.0,5,30-06-2026,100.33,0.63,False,False,86.3,71.89,94.43,106.55,-28.2,-14.0,14.0,882.0,24.0,9.0,18.68,-36.0,0.85,6.79,0.26,False,4.02,0.071,20,8,0,-2,26,Avoid
OBCL,OBCL LIMITED (FORMERLY KNOWN AS ORISSA BENGAL CARRIER LIMITED),6231681.0,115492.0,4,10-08-2026,53.96,0.62,False,False,54.5,67.23,54.68,55.17,-0.5,1.0,1.0,115.0,,6.0,2.47,-3779.0,-0.05,-2.08,0.8,True,3.0,0.539,25,6,5,-2,34,Fundamental Watch
FIBERWEB,Fiberweb (India) Limited,4654451.0,158396.0,12,19-06-2026,29.38,0.47,False,False,29.0,46.33,29.98,35.55,-36.0,-1.3,1.3,,16.0,-38.0,1.73,-70.0,0.09,7.57,0.06,True,17.55,,15,9,0,0,24,Avoid
MACPOWER,MACPOWER CNC MACHINES LIMITED,4356789.0,4733.0,2,04-06-2026,920.51,0.44,False,False,1753.0,73.16,1329.52,1055.9,106.4,90.4,90.4,1750.0,45.0,35.0,15.42,47.0,9.58,29.1,0.01,True,16.19,0.025,17,30,30,0,77,Strong Buy Setup
ASAHIINDIA,ASAHI INDIA GLASS LIMITED,4251250.0,5000.0,1,29-06-2026,850.25,0.43,False,False,937.95,54.23,885.7,912.99,-4.1,10.3,10.3,23943.0,55.3,10.0,317.0,35.0,5.94,11.4,0.52,True,24.0,0.002,12,18,15,0,45,Watchlist
SHYAMCENT,SHYAM CENTURY FERROUS LIMITED,4245478.0,758224.0,3,30-06-2026,5.6,0.42,False,False,4.98,51.7,5.31,5.52,-14.3,-11.1,11.1,106.0,,-92.0,-2.42,44.0,-0.04,-7.4,0.01,False,-733.33,0.396,20,10,0,-2,28,Avoid
NRL,NUPUR RECYCLERS LIMITED,4206920.0,50730.0,3,24-06-2026,82.93,0.42,False,False,117.0,72.53,96.68,66.57,119.2,41.1,41.1,808.0,86.3,15.0,1.43,82.0,0.34,9.71,0.0,True,3.67,0.052,20,16,30,-5,61,Buy on Breakout
ASAHISONG,ASAHI SONGWON COLORS LIMITED,3381000.0,10000.0,1,11-08-2026,338.1,0.34,False,False,362.05,66.73,295.0,254.84,56.9,7.1,7.1,427.0,12.6,-8.0,24.0,33.0,14.36,9.94,0.23,True,18.0,0.08,17,21,25,0,63,Buy on Breakout
SENCO,SENCO GOLD LIMITED,2987130.0,8920.0,1,30-06-2026,334.88,0.3,False,False,341.95,68.48,360.98,331.87,-3.8,2.1,2.1,5603.0,9.47,43.0,223.0,175.0,6.97,21.4,1.03,False,7.0,0.005,17,21,15,0,53,Buy on Breakout
VSTL,VIBHOR STEEL TUBES LIMITED,2722455.0,23096.0,5,12-06-2026,117.88,0.27,False,False,108.49,73.48,113.44,121.96,-9.0,-8.0,8.0,205.0,24.4,21.0,12.07,-29.0,1.02,7.92,0.98,True,4.11,0.132,20,11,0,-2,29,Avoid
GOKUL,GOKUL REFOILS AND SOLVENT LIMITED,2567503.0,61500.0,14,17-06-2026,41.75,0.26,False,False,39.29,71.79,40.52,39.59,11.5,-5.9,5.9,385.0,95.2,246.0,0.91,10.0,0.14,2.16,0.0,False,4.21,0.068,20,8,10,-5,33,Fundamental Watch
INDIQUBE,Indiqube Spaces Limited,2543624.0,15500.0,4,24-06-2026,164.1,0.25,False,False,180.0,60.6,170.91,180.24,3.4,9.7,9.7,3816.0,,39.0,258.0,30.0,-1.13,6.38,10.11,True,61.0,0.007,15,23,20,0,58,Buy on Breakout
ALICON,ALICON CASTALLOY LIMITED,2266406.0,3500.0,2,10-06-2026,647.54,0.23,False,False,719.5,55.72,664.37,739.93,-9.0,11.1,11.1,1181.0,27.0,19.0,58.0,31.0,10.76,10.5,0.56,True,10.0,0.019,12,23,15,0,50,Buy on Breakout
