Symbol,CompanyName,ValuePurchased,ReportedBuyQty,ReportedBuyTxn,acqtoDt,TotalQty,NumBuyTxn,PricedValuePurchased,AvgPrice,MissingValueQty,MissingValueTxn,ValueCr,MarketBuyValue,MarketSellValue,NetBuyValue,SellBuyRatioPct,HasMarketSell,SellBuyExclusion,HasPledging,LastPrice,PromoHolding,DMA50,DMA200,SixMonthReturn,PriceDiffPct,AbsDiffPct,FirstBuyDate,LastBuyDate,FirstBuyPrice,LastBuyPrice,WeightedAvgBuyPrice,AccumulationDays,DaysSinceFirstBuy,DaysSinceLastBuy,BuyTxn7D,BuyTxn15D,BuyTxn30D,BuyTxn60D,BuyTxn90D,BuyValue7D,BuyValue15D,BuyValue30D,BuyValue60D,BuyValue90D,NetBuyValue7D,NetBuyValue30D,UniquePromotersBuying,UniquePromotersSelling,BuyAcceleration,Freshness,AccumulationStage,PromoterAvgPrice,CMPvsPromoterAvgPct,SignalStage,MarketCapCr,PE,RevGrowthPct,EBITDAGrowthPct,PATGrowthPct,EPSGrowthPct,ROCEPct,DE_Ratio,OCFPositive,OPMPct,PromoConvictionPct,ScorePromo,ScoreFund,ScoreTech,ScoreRisk,Score,Category
TRUALT,TRUALT BIOENERGY LIMITED,102230903.0,215306.0,5,12-08-2026,215306.0,5,102230903.0,474.82,0.0,0,10.22,102230903.0,0.0,102230903.0,0.0,False,False,False,425.25,70.55,445.75,433.44,12.9,-10.4,10.4,05-08-2026,12-08-2026,462.97976851851854,467.56,474.96922973406623,7,33,26,0,0,4,8,8,0.0,0.0,76204248.0,183533810.0,183533810.0,0.0,76204248.0,1,0,0.0,Active,Confirmed Accumulation,474.96922973406623,-10.5,Confirmed Accumulation,3627.0,25.4,2.0,127.0,-14.0,6.41,9.89,1.05,False,21.0,0.282,25,5,10,0,40,Watchlist
PONNIERODE,PONNI SUGARS (ERODE) LIMITED,101498680.0,290000.0,1,17-08-2026,290000.0,1,101498680.0,350.0,0.0,0,10.15,101498680.0,0.0,101498680.0,0.0,False,False,False,382.45,42.36,342.15,299.02,45.6,9.3,9.3,17-08-2026,17-08-2026,349.9954482758621,349.9954482758621,349.9954482758621,0,21,21,0,0,1,1,1,0.0,0.0,101498680.0,101498680.0,101498680.0,0.0,101498680.0,1,0,0.0,Active,Mature Accumulation,349.9954482758621,9.3,Confirmed Accumulation,332.0,11.1,22.0,-1.78,175.0,-1.43,7.27,0.0,True,-1.94,3.057,17,21,25,-2,61,Buy on Breakout
ALEMBICLTD,Alembic Limited,84885276.0,925695.0,5,02-09-2026,925695.0,5,84885276.0,91.7,0.0,0,8.49,84885276.0,0.0,84885276.0,0.0,False,False,False,111.41,70.88,91.51,92.1,25.3,21.5,21.5,17-08-2026,02-09-2026,87.74665695371235,99.08657187993681,91.7739742726077,16,21,5,3,4,6,6,6,23357076.0,35618957.0,85826103.0,85826103.0,85826103.0,23357076.0,85826103.0,1,0,0.2721,Fresh,Confirmed Accumulation,91.7739742726077,21.4,Late — Poor Entry,2785.0,22.8,8.0,14.0,-14.0,0.57,16.9,0.01,True,30.0,0.305,25,13,25,0,63,Buy on Breakout
APLLTD,Alembic Pharmaceuticals Limited,76922116.0,103110.0,3,18-06-2026,103110.0,3,76922116.0,746.02,0.0,0,7.69,76922116.0,0.0,76922116.0,0.0,False,False,False,808.2,69.61,821.6,789.94,14.6,8.3,8.3,11-06-2026,18-06-2026,746.0249866666667,743.493898718731,746.0199398700418,7,88,81,0,0,0,0,3,0.0,0.0,0.0,0.0,76922116.0,0.0,0.0,1,0,0.0,Stale,Stale Accumulation,746.0199398700418,8.3,Late — Poor Entry,15722.0,20.0,16.0,346.0,88.0,10.02,12.3,0.21,True,19.0,0.049,20,26,25,0,71,Strong Buy Setup
THANGAMAYL,THANGAMAYIL JEWELLERY LIMITED,72054758.0,13860.0,6,31-08-2026,13860.0,6,72054758.0,5198.76,0.0,0,7.21,72054758.0,0.0,72054758.0,0.0,False,False,False,5332.0,67.16,5866.47,4325.28,38.6,2.6,2.6,04-08-2026,31-08-2026,4810.6375,5359.038918918919,5198.755988455989,27,34,7,0,2,2,6,6,0.0,19879002.0,19879002.0,72054758.0,72054758.0,0.0,19879002.0,3,0,0.0,Fresh,Confirmed Accumulation,5198.755988455989,2.6,Confirmed Accumulation,16918.0,43.1,83.0,145.0,264.0,27.38,25.5,0.64,True,5.0,0.043,20,32,20,0,72,Strong Buy Setup
AEROENTER,AEROFLEX ENTERPRISES LIMITED,65841060.0,614000.0,4,17-06-2026,614000.0,4,65841060.0,107.23,0.0,0,6.58,65841060.0,0.0,65841060.0,0.0,False,False,False,141.81,51.59,129.53,98.14,87.9,32.2,32.2,09-06-2026,17-06-2026,102.44,113.3,107.232996742671,8,90,82,0,0,0,0,3,0.0,0.0,0.0,0.0,48016500.0,0.0,0.0,1,0,0.0,Stale,Stale Accumulation,107.232996742671,32.2,Late — Poor Entry,1719.0,17.2,152.0,-23.0,955.0,8.07,3.05,0.0,False,-831.0,0.383,20,15,30,-2,63,Buy on Breakout
STEL,STEL HOLDINGS LIMITED,56228173.0,95366.0,40,31-08-2026,95366.0,40,56228173.0,589.6,0.0,0,5.62,56228173.0,0.0,56228173.0,0.0,False,False,False,607.9,64.68,573.98,509.36,19.1,3.1,3.1,04-06-2026,31-08-2026,496.3701671891327,650.8548387096774,578.7647399321921,88,95,7,0,11,21,21,33,0.0,12904187.0,19212594.0,19212594.0,49465328.0,0.0,19212594.0,2,0,0.0,Fresh,Confirmed Accumulation,578.7647399321921,5.0,Confirmed Accumulation,1100.0,56.0,21.0,-0.11,23.0,-0.07,1.58,0.0,False,-110.0,0.511,20,15,25,-2,58,Buy on Breakout
NAVA,NAVA LIMITED,55527014.0,98000.0,3,03-09-2026,98000.0,3,55527014.0,566.6,0.0,0,5.55,55527014.0,0.0,55527014.0,0.0,False,False,False,560.2,48.85,577.67,583.53,-2.9,-1.1,1.1,25-08-2026,03-09-2026,563.6042619047619,560.5844,566.6021836734694,9,13,4,1,3,3,3,3,5605844.0,55527014.0,55527014.0,55527014.0,55527014.0,5605844.0,55527014.0,3,0,0.101,Fresh,Early Accumulation,566.6021836734694,-1.1,Early Accumulation,15738.0,22.5,18.0,152.0,61.0,9.39,16.5,0.01,True,29.0,0.035,15,30,0,0,45,Watchlist
HCLTECH,HCL Technologies Limited,52192113.0,47261.0,1,12-06-2026,47261.0,1,52192113.0,1104.34,0.0,0,5.22,52192113.0,0.0,52192113.0,0.0,False,False,False,1293.4,60.82,1266.49,1390.21,-5.7,17.1,17.1,12-06-2026,12-06-2026,1104.337889591841,1104.337889591841,1104.337889591841,0,87,87,0,0,0,0,1,0.0,0.0,0.0,0.0,52192113.0,0.0,0.0,1,0,0.0,Stale,Stale Accumulation,1104.337889591841,17.1,Late — Poor Entry,345015.0,19.1,7.0,4158.0,44.0,25.89,53.4,0.04,True,29.0,0.002,12,30,10,0,52,Buy on Breakout
JARO,JARO INSTITUTE OF TECHNOLOGY MANAGEMENT AND RESEARCH LIMITED,50036685.0,99795.0,8,26-08-2026,99795.0,8,50036685.0,501.39,0.0,0,5.0,50036685.0,0.0,50036685.0,0.0,False,False,False,445.65,57.33,474.95,492.3,1.4,-11.1,11.1,10-06-2026,26-08-2026,540.2861685214626,462.1643520831252,501.39470915376523,77,89,12,0,1,5,5,8,0.0,9251606.0,23291553.0,23291553.0,50036685.0,0.0,23291553.0,2,0,0.0,Active,Confirmed Accumulation,501.39470915376523,-11.1,Confirmed Accumulation,994.0,17.6,13.0,15.0,35.0,5.02,22.1,0.02,True,21.0,0.503,20,20,5,0,45,Watchlist
