Symbol,BuyTxn7D,BuyValue7D,SellTxn7D,SellValue7D,NetBuyValue7D,BuyTxn15D,BuyValue15D,SellTxn15D,SellValue15D,NetBuyValue15D,BuyTxn30D,BuyValue30D,SellTxn30D,SellValue30D,NetBuyValue30D,BuyTxn60D,BuyValue60D,SellTxn60D,SellValue60D,NetBuyValue60D,BuyTxn90D,BuyValue90D,SellTxn90D,SellValue90D,NetBuyValue90D,FirstBuyDate,FirstBuyDisclosureDate,FirstBuyPrice,FirstBuyValue,LastBuyDate,LastBuyDisclosureDate,LastBuyPrice,LastBuyValue,AccumulationDays,DaysSinceFirstBuy,DaysSinceLastBuy,UniquePromotersBuying,UniquePromotersSelling,WeightedAvgBuyPrice,BuyAcceleration,Freshness,AccumulationStage
GICRE,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,1,30940260806.0,-30940260806.0,,,,0.0,,,,0.0,0,,,0,1,,0.0,No Signal,No Signal
GMMPFAUDLR,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,,,,0.0,,,,0.0,0,,,0,0,,0.0,No Signal,No Signal
GNA,0,0.0,0,0.0,0.0,0,0.0,2,508233808.0,-508233808.0,0,0.0,5,1113164350.0,-1113164350.0,0,0.0,7,1613926042.0,-1613926042.0,0,0.0,7,1613926042.0,-1613926042.0,,,,0.0,,,,0.0,0,,,0,2,,0.0,No Signal,No Signal
GOCOLORS,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,,,,0.0,,,,0.0,0,,,0,0,,0.0,No Signal,No Signal
GOKUL,12,14565821.0,0,0.0,14565821.0,16,18370361.0,0,0.0,18370361.0,20,22247438.0,0,0.0,22247438.0,20,22247438.0,0,0.0,22247438.0,34,24814941.0,0,0.0,24814941.0,09-06-2026,10-06-2026,40.9733893557423,87765.0,02-09-2026,03-09-2026,41.23762857142857,1443317.0,85,88,3,1,0,42.05159572755449,0.6547,Fresh,Confirmed Accumulation
GOLDTECH,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,1,8492000.0,1,8710500.0,-218500.0,12-06-2026,15-06-2026,42.46,8492000.0,12-06-2026,15-06-2026,42.46,8492000.0,0,85,85,1,1,42.46,0.0,Stale,Stale Accumulation
GOODLUCK,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,7,1156851121.0,-1156851121.0,,,,0.0,,,,0.0,0,,,0,7,,0.0,No Signal,No Signal
GPIL,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,,,,0.0,,,,0.0,0,,,0,0,,0.0,No Signal,No Signal
GREENPANEL,0,0.0,0,0.0,0.0,2,19808300.0,0,0.0,19808300.0,2,19808300.0,0,0.0,19808300.0,2,19808300.0,0,0.0,19808300.0,2,19808300.0,0,0.0,19808300.0,28-08-2026,31-08-2026,161.0430894308943,9904150.0,28-08-2026,31-08-2026,161.0430894308943,9904150.0,0,8,8,1,0,161.0430894308943,0.0,Active,Confirmed Accumulation
GRMOVER,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,9,158990337.0,0,0.0,158990337.0,08-06-2026,11-06-2026,121.9935,18299025.0,24-06-2026,29-06-2026,91.21972,13682958.0,16,89,73,2,0,100.13076802447621,0.0,Stale,Stale Accumulation
GRPLTD,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,2,1140678.0,-1140678.0,,,,0.0,,,,0.0,0,,,0,1,,0.0,No Signal,No Signal
HCLTECH,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,1,52192113.0,0,0.0,52192113.0,12-06-2026,16-06-2026,1104.337889591841,52192113.0,12-06-2026,16-06-2026,1104.337889591841,52192113.0,0,85,85,1,0,1104.337889591841,0.0,Stale,Stale Accumulation
HEALTHX,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,,,,0.0,,,,0.0,0,,,0,1,,0.0,No Signal,No Signal
HEXAGON,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,6,6109834.0,0,0.0,6109834.0,6,6109834.0,0,0.0,6109834.0,6,6109834.0,0,0.0,6109834.0,17-08-2026,19-08-2026,64.03237804878049,1050131.0,17-08-2026,19-08-2026,64.04853333333334,960728.0,0,19,19,3,0,64.04438155136269,0.0,Active,Confirmed Accumulation
HGS,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,,,,0.0,,,,0.0,0,,,0,0,,0.0,No Signal,No Signal
HINDCON,2,148859.0,0,0.0,148859.0,4,337326.0,0,0.0,337326.0,7,618738.0,0,0.0,618738.0,7,618738.0,0,0.0,618738.0,7,618738.0,0,0.0,618738.0,20-08-2026,22-08-2026,21.998066051770305,147871.0,02-09-2026,03-09-2026,23.214,58035.0,13,16,3,4,0,22.34759995665836,0.2406,Fresh,Early Accumulation
HINDCOPPER,0,0.0,0,0.0,0.0,0,0.0,1,30448780891.0,-30448780891.0,0,0.0,1,30448780891.0,-30448780891.0,0,0.0,1,30448780891.0,-30448780891.0,0,0.0,1,30448780891.0,-30448780891.0,,,,0.0,,,,0.0,0,,,0,1,,0.0,No Signal,No Signal
HMAAGRO,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,,,,0.0,,,,0.0,0,,,0,0,,0.0,No Signal,No Signal
HUBTOWN,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,,,,0.0,,,,0.0,0,,,0,0,,0.0,No Signal,No Signal
INDIQUBE,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,4,2543624.0,0,0.0,2543624.0,09-06-2026,15-06-2026,159.80963636363637,878953.0,24-06-2026,27-06-2026,168.6686,843343.0,15,88,73,1,0,164.1047741935484,0.0,Stale,Stale Accumulation
INDOCO,4,3412460.0,0,0.0,3412460.0,4,3412460.0,0,0.0,3412460.0,4,3412460.0,0,0.0,3412460.0,4,3412460.0,0,0.0,3412460.0,4,3412460.0,0,0.0,3412460.0,31-08-2026,31-08-2026,244.848,1224240.0,01-09-2026,02-09-2026,241.0,482000.0,1,5,4,2,0,243.74714285714285,1.0,Fresh,Early Accumulation
INDOTECH,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,4,2453545939.0,-2453545939.0,,,,0.0,,,,0.0,0,,,0,1,,0.0,No Signal,No Signal
INDOWIND,0,0.0,0,0.0,0.0,1,1370924.0,0,0.0,1370924.0,2,4865287.0,0,0.0,4865287.0,2,4865287.0,0,0.0,4865287.0,4,26711391.0,1,18341017.0,8370374.0,30-06-2026,06-07-2026,9.295999799886866,21182897.0,25-08-2026,27-08-2026,9.354905626902132,1370924.0,56,67,11,1,1,9.204238691281239,0.0,Active,Confirmed Accumulation
INFOBEAN,0,0.0,1,20168011.0,-20168011.0,0,0.0,3,106627388.0,-106627388.0,0,0.0,3,106627388.0,-106627388.0,0,0.0,3,106627388.0,-106627388.0,0,0.0,3,106627388.0,-106627388.0,,,,0.0,,,,0.0,0,,,0,2,,0.0,No Signal,No Signal
INOXINDIA,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,4,24391805.0,-24391805.0,,,,0.0,,,,0.0,0,,,0,2,,0.0,No Signal,No Signal
INOXWIND,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,,,,0.0,,,,0.0,0,,,0,0,,0.0,No Signal,No Signal
IONEXCHANG,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,,,,0.0,,,,0.0,0,,,0,0,,0.0,No Signal,No Signal
IRB,3,609415178.0,0,0.0,609415178.0,3,609415178.0,0,0.0,609415178.0,3,609415178.0,0,0.0,609415178.0,3,609415178.0,0,0.0,609415178.0,3,609415178.0,0,0.0,609415178.0,31-08-2026,02-09-2026,19.436620666666666,204084517.0,02-09-2026,02-09-2026,19.326489523809524,202928140.0,2,5,3,1,0,19.346513587301587,1.0,Fresh,Early Accumulation
IRFC,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,,,,0.0,,,,0.0,0,,,0,0,,0.0,No Signal,No Signal
JARO,0,0.0,0,0.0,0.0,1,9251606.0,0,0.0,9251606.0,5,23291553.0,0,0.0,23291553.0,5,23291553.0,0,0.0,23291553.0,8,50036685.0,0,0.0,50036685.0,04-06-2026,06-06-2026,611.2429919085785,31878767.0,26-08-2026,27-08-2026,462.1643520831252,9251606.0,83,93,10,2,0,539.0983290446137,0.0,Active,Confirmed Accumulation
JAYSREETEA,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,3,111816242.0,0,0.0,111816242.0,3,111816242.0,0,0.0,111816242.0,3,111816242.0,0,0.0,111816242.0,17-08-2026,18-08-2026,88.49123585958849,110814212.0,18-08-2026,20-08-2026,88.23788546255507,20030.0,1,19,18,1,0,88.48237731381833,0.0,Active,Confirmed Accumulation
JINDALSTEL,0,0.0,0,0.0,0.0,0,0.0,1,108203920.0,-108203920.0,0,0.0,1,108203920.0,-108203920.0,0,0.0,1,108203920.0,-108203920.0,0,0.0,1,108203920.0,-108203920.0,,,,0.0,,,,0.0,0,,,0,1,,0.0,No Signal,No Signal
JKCEMENT,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,,,,0.0,,,,0.0,0,,,0,0,,0.0,No Signal,No Signal
