Symbol,PromoterEntity,WindowDays,BuyTransactions,BuyValue,SellTransactions,SellValue,NetBuyValue,FirstTransactionDate,LastTransactionDate
BERGEPAINT,Ms Jessima Kumar,30,1,12030894.0,0,0.0,12030894.0,07-09-2026,07-09-2026
BERGEPAINT,Ms Jessima Kumar,60,1,12030894.0,0,0.0,12030894.0,07-09-2026,07-09-2026
BERGEPAINT,Ms Jessima Kumar,90,1,12030894.0,0,0.0,12030894.0,07-09-2026,07-09-2026
BERGEPAINT,Ms Sunaina Kohli,7,0,0.0,0,0.0,0.0,07-09-2026,07-09-2026
BERGEPAINT,Ms Sunaina Kohli,15,0,0.0,0,0.0,0.0,07-09-2026,07-09-2026
BERGEPAINT,Ms Sunaina Kohli,30,1,7193875.0,0,0.0,7193875.0,07-09-2026,07-09-2026
BERGEPAINT,Ms Sunaina Kohli,60,1,7193875.0,0,0.0,7193875.0,07-09-2026,07-09-2026
BERGEPAINT,Ms Sunaina Kohli,90,1,7193875.0,0,0.0,7193875.0,07-09-2026,07-09-2026
BERGEPAINT,MsRishma Kaur,7,0,0.0,0,0.0,0.0,07-09-2026,07-09-2026
BERGEPAINT,MsRishma Kaur,15,0,0.0,0,0.0,0.0,07-09-2026,07-09-2026
BERGEPAINT,MsRishma Kaur,30,1,12413936.0,0,0.0,12413936.0,07-09-2026,07-09-2026
BERGEPAINT,MsRishma Kaur,60,1,12413936.0,0,0.0,12413936.0,07-09-2026,07-09-2026
BERGEPAINT,MsRishma Kaur,90,1,12413936.0,0,0.0,12413936.0,07-09-2026,07-09-2026
BHAGERIA,Aditya Bhageria,7,0,0.0,0,0.0,0.0,20-08-2026,26-08-2026
BHAGERIA,Aditya Bhageria,15,0,0.0,0,0.0,0.0,20-08-2026,26-08-2026
BHAGERIA,Aditya Bhageria,30,3,5939298.0,0,0.0,5939298.0,20-08-2026,26-08-2026
BHAGERIA,Aditya Bhageria,60,6,9479950.0,0,0.0,9479950.0,20-08-2026,26-08-2026
BHAGERIA,Aditya Bhageria,90,6,9479950.0,0,0.0,9479950.0,20-08-2026,26-08-2026
BMWVENTLTD,SHIVANSH KISHOREPURIA,7,2,5023150.0,0,0.0,5023150.0,05-08-2026,21-09-2026
BMWVENTLTD,SHIVANSH KISHOREPURIA,15,2,5023150.0,0,0.0,5023150.0,05-08-2026,21-09-2026
BMWVENTLTD,SHIVANSH KISHOREPURIA,30,2,5023150.0,0,0.0,5023150.0,05-08-2026,21-09-2026
BMWVENTLTD,SHIVANSH KISHOREPURIA,60,6,29112781.0,0,0.0,29112781.0,05-08-2026,21-09-2026
BMWVENTLTD,SHIVANSH KISHOREPURIA,90,6,29112781.0,0,0.0,29112781.0,05-08-2026,21-09-2026
CHEMBOND,Raunaq Sameer Shah,7,0,0.0,0,0.0,0.0,03-09-2026,03-09-2026
