Symbol,Company Name,Name of Person,Category of Person,Securities Acquired/Disposed (No.),Securities Acquired/Disposed (Value),Securities Held Post (%),Date From,Date To,Details URL
AEROENTER,AEROFLEX ENTERPRISES LIMITED,A Flex Invest Private Limited,Promoter Group,100000,"11,330,000.00",7.38%,17-06-2026,17-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_21141_20260618_205336745_WEB.html
EVEREADY,EVEREADY INDUSTRIES INDIA LIMITED,GYAN ENTERPRISES PRIVATE LIMITED,Promoter,8312,"2,914,681.00",2.35%,16-06-2026,16-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_2275_20260617_175941370_WEB.html
MOTOGENFIN,THE MOTOR & GENERAL FINANCE LIMITED,RAM PRAKASH & CO.(P) LTD,Promoter Group,40000,"1,197,485.00",7.63%,17-06-2026,17-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_279_20260617_154646606_WEB.html
SHAKTIPUMP,SHAKTI PUMPS (INDIA) LIMITED,SHAKTI SONS TRUST,Promoter,9000,"4,945,348.00",18.36%,16-06-2026,16-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_5329_20260617_121054609_WEB.html
BAJAJHCARE,BAJAJ HEALTHCARE LIMITED,ANIL CHAMPALAL JAIN,Promoter Group,100000,"29,730,147.00",6.05%,12-06-2026,12-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_19739_20260615_132831852_WEB.html
VSTL,VIBHOR STEEL TUBES LIMITED,VIJAY KUMAR KAUSHIK,Promoter and Director,2100,"251,022.00",21.99%,12-06-2026,12-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20260613_154010870_WEB.html
JARO,JARO INSTITUTE OF TECHNOLOGY MANAGEMENT AND RESEARCH LIMITED,Sanjay Namdeo Salunkhe,Promoter,15326,"8,658,985.00",55.29%,12-06-2026,12-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20260613_125328596_WEB.html
APLLTD,Alembic Pharmaceuticals Limited,Nirayu Private Limited,Promoter Group,75000,"55,951,874.00",35.77%,11-06-2026,11-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20260612_183716903_WEB.html
GOKUL,GOKUL REFOILS AND SOLVENT LIMITED,Bhikhiben Balvantsinh Rajput,Promoter,2200,"90,070.00",22.96%,11-06-2026,11-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20260612_182309128_WEB.html
GOKUL,GOKUL REFOILS AND SOLVENT LIMITED,Bhikhiben Balvantsinh Rajput,Promoter,4000,"164,239.00",22.96%,11-06-2026,11-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20260612_182309128_WEB.html
GRMOVER,GRM OVERSEAS LIMITED,Atul Garg,Promoter and Director,238281,"20,795,511.00",20.69%,11-06-2026,11-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20260612_171759467_WEB.html
GRMOVER,GRM OVERSEAS LIMITED,Mamta Garg,Promoter and Director,50000,"4,311,105.00",20.15%,11-06-2026,11-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20260612_171759467_WEB.html
JARO,JARO INSTITUTE OF TECHNOLOGY MANAGEMENT AND RESEARCH LIMITED,Sanjay Namdeo Salunkhe,Promoter,24355,"13,328,387.00",55.23%,11-06-2026,11-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20260612_123918989_WEB.html
GANDHAR,GANDHAR OIL REFINERY (INDIA) LIMITED,Ramesh Babulal Parekh,Promoter and Director,25738,"4,088,705.00",28.69%,09-06-2026,09-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20260611_175056670_WEB.html
GRMOVER,GRM OVERSEAS LIMITED,Atul Garg,Promoter and Director,150000,"18,299,025.00",20.58%,08-06-2026,08-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20260611_165057102_WEB.html
MSPL,MSP STEEL & POWER LIMITED,Sampat Marketing Company Pvt Ltd,Promoter Group,700000,"28,963,830.00",2.12%,04-06-2026,04-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20260611_140457707_WEB.html
MSPL,MSP STEEL & POWER LIMITED,Shree Vinay Finvest P Ltd.,Promoter Group,2850000,"117,572,474.00",3.47%,04-06-2026,08-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20260611_140457707_WEB.html
MSPL,MSP STEEL & POWER LIMITED,Ilex Private Limited,Promoter Group,1660000,"68,971,086.00",2.68%,05-06-2026,08-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20260611_140457707_WEB.html
JARO,JARO INSTITUTE OF TECHNOLOGY MANAGEMENT AND RESEARCH LIMITED,Sanjay Namdeo Salunkhe,Promoter,8806,"4,757,760.00",55.11%,10-06-2026,10-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20260611_124014771_WEB.html
RGL,Renaissance Global Limited,Sumit Shah,Promoter and Director,41874,"4,007,413.00",1.00%,10-06-2026,10-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20260611_113536642_WEB.html
GOKUL,GOKUL REFOILS AND SOLVENT LIMITED,Bhikhiben Balvantsinh Rajput,Promoter,2142,"87,765.00",22.95%,09-06-2026,09-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20260610_180825903_WEB.html
