Symbol,Company Name,Name of Person,Category of Person,Securities Acquired/Disposed (No.),Securities Acquired/Disposed (Value),Securities Held Post (%),Date From,Date To,Details URL
TIGERLOGS,Tiger Logistics (India) Limited,Brahma Suppliers Private Limited,Promoter Group,25000,"930,750.00",33.27%,30-06-2026,30-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_26474_20260630_200813429_WEB.html
LYKALABS,Lyka Labs Limited,Kunal N Gandhi,Promoter,12914,"936,398.00",9.84%,29-06-2026,29-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_1127_20260630_120710182_WEB.html
LYKALABS,Lyka Labs Limited,Kunal N Gandhi,Promoter,1262,"92,015.00",9.85%,29-06-2026,29-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_1127_20260630_120710182_WEB.html
GRMOVER,GRM OVERSEAS LIMITED,Mamta Garg,Promoter and Director,150000,"13,682,958.00",20.27%,24-06-2026,24-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20861_20260629_183821311_WEB.html
SESHAPAPER,SESHASAYEE PAPER AND BOARDS LIMITED,TIME SQUARE INVESTMENTS PRIVATE LIMITED,Promoter Group,3767,"848,764.00",10.22%,29-06-2026,29-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_118_20260629_173512189_WEB.html
MANINFRA,MAN INFRACONSTRUCTION LIMITED,Parag K. Shah,Promoter and Director,250000,"26,297,500.00",29.72%,25-06-2026,25-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_3094_20260629_091914135_WEB.html
OMPOWER,Om Power Transmission Limited,Kalpesh Dhanjibhai Patel,Promoter and Director,14221,"2,601,006.00",24.16%,23-06-2026,24-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_27090_20260627_011004700_WEB.html
OMPOWER,Om Power Transmission Limited,Kanubhai Patel,Promoter and Director,14195,"2,600,640.00",24.16%,23-06-2026,24-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_27090_20260627_011004700_WEB.html
OMPOWER,Om Power Transmission Limited,Vasantkumar Narayanbhai Patel,Promoter and Director,12347,"2,245,533.00",20.71%,23-06-2026,24-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_27090_20260627_011004700_WEB.html
DBOL,Dhampur Bio Organics Limited,Shudh Edible Products Private Limited,Promoter Group,18000,"2,010,960.00",16.93%,25-06-2026,25-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20812_20260626_191814446_WEB.html
LYKALABS,Lyka Labs Limited,Kunal Gandhi,Promoter,6533,"460,482.00",9.81%,25-06-2026,25-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_1127_20260626_172342073_WEB.html
LYKALABS,Lyka Labs Limited,Nehal Gandhi,Promoter,33122,"2,341,493.00",3.35%,24-06-2026,25-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_1127_20260626_172342073_WEB.html
LYKALABS,Lyka Labs Limited,Alisha Gandhi,Promoter Group,5000,"339,569.00",0.14%,24-06-2026,24-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_1127_20260626_172342073_WEB.html
LYKALABS,Lyka Labs Limited,Enai Trading and Investment Pvt.,Promoter Group,11312,"805,323.00",2.83%,24-06-2026,24-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_1127_20260626_172342073_WEB.html
NINSYS,Nintec Systems Limited,Niraj Chhaganraj Gemawat,Promoter and Director,2500,"1,942,198.00",18.39%,24-06-2026,24-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_21310_20260625_183516410_WEB.html
NINSYS,Nintec Systems Limited,Niraj Chhaganraj Gemawat,Promoter and Director,3000,"2,365,904.00",18.40%,25-06-2026,25-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_21310_20260625_183516410_WEB.html
DOLLAR,DOLLAR INDUSTRIES LIMITED,VK Mercantile Private Limited,Promoter Group,55000,"14,833,500.00",14.21%,24-06-2026,24-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_14920_20260625_175915415_WEB.html
MOTOGENFIN,THE MOTOR & GENERAL FINANCE LIMITED,RAM PRAKASH & CO.(P) LTD,Promoter Group,5916,"177,480.00",7.78%,25-06-2026,25-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_279_20260625_175018102_WEB.html
MSPL,MSP STEEL & POWER LIMITED,Ginny Traders Private Limited,Promoter Group,730000,"32,224,828.00",2.51%,19-06-2026,19-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_2306_20260625_170531913_WEB.html
MSPL,MSP STEEL & POWER LIMITED,Sampat Marketing Company Pvt Ltd,Promoter Group,1204000,"53,872,193.00",2.86%,19-06-2026,22-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_2306_20260625_170531913_WEB.html
MSPL,MSP STEEL & POWER LIMITED,Ilex Private Limited,Promoter Group,166849,"7,461,287.00",3.24%,22-06-2026,22-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_2306_20260625_170531913_WEB.html
MSPL,MSP STEEL & POWER LIMITED,Shree Vinay Finvest P Ltd.,Promoter Group,730000,"31,466,285.00",4.03%,16-06-2026,16-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_2306_20260622_173326406_WEB.html
MSPL,MSP STEEL & POWER LIMITED,Ginny Traders Pvt Ltd,Promoter Group,530000,"22,755,497.00",2.16%,16-06-2026,16-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_2306_20260622_173326406_WEB.html
MSPL,MSP STEEL & POWER LIMITED,Ginny Traders Pvt Ltd,Promoter Group,1250000,"52,696,485.00",2.38%,17-06-2026,18-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_2306_20260622_173326406_WEB.html
MSPL,MSP STEEL & POWER LIMITED,Sampat Marketing Company Pvt Ltd,Promoter Group,890000,"38,831,857.00",2.46%,16-06-2026,16-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_2306_20260622_173326406_WEB.html
MSPL,MSP STEEL & POWER LIMITED,Sampat Marketing Company Pvt Ltd,Promoter Group,1100000,"46,406,030.00",2.65%,17-06-2026,17-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_2306_20260622_173326406_WEB.html
MSPL,MSP STEEL & POWER LIMITED,Ilex Private Limited,Promoter Group,1000000,"42,397,025.00",3.21%,17-06-2026,18-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_2306_20260622_173326406_WEB.html
MSPL,MSP STEEL & POWER LIMITED,M A Hire Purchase Private Limited,Promoter Group,950000,"40,069,290.00",3.20%,18-06-2026,18-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_2306_20260622_173326406_WEB.html
NINSYS,Nintec Systems Limited,Niraj Chhaganraj Gemawat,Promoter and Director,1000,"700,662.00",18.31%,19-06-2026,19-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_21310_20260620_144819141_WEB.html
NINSYS,Nintec Systems Limited,Niraj Chhaganraj Gemawat,Promoter and Director,1000,"710,907.00",18.31%,19-06-2026,19-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_21310_20260620_144819141_WEB.html
NINSYS,Nintec Systems Limited,Niraj Chhaganraj Gemawat,Promoter and Director,500,"359,598.00",18.31%,19-06-2026,19-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_21310_20260620_144819141_WEB.html
NINSYS,Nintec Systems Limited,Niraj Chhaganraj Gemawat,Promoter and Director,200,"144,000.00",18.31%,19-06-2026,19-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_21310_20260620_144819141_WEB.html
NINSYS,Nintec Systems Limited,Niraj Chhaganraj Gemawat,Promoter and Director,1000,"720,000.00",18.32%,19-06-2026,19-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_21310_20260620_144819141_WEB.html
NINSYS,Nintec Systems Limited,Niraj Chhaganraj Gemawat,Promoter and Director,300,"216,000.00",18.32%,19-06-2026,19-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_21310_20260620_144819141_WEB.html
NINSYS,Nintec Systems Limited,Niraj Chhaganraj Gemawat,Promoter and Director,1000,"700,662.00",18.31%,19-06-2026,19-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_21310_20260620_133027293_WEB.html
NINSYS,Nintec Systems Limited,Niraj Chhaganraj Gemawat,Promoter and Director,1000,"710,907.00",18.31%,19-06-2026,19-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_21310_20260620_133027293_WEB.html
NINSYS,Nintec Systems Limited,Niraj Chhaganraj Gemawat,Promoter and Director,500,"359,598.00",18.31%,19-06-2026,19-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_21310_20260620_133027293_WEB.html
NINSYS,Nintec Systems Limited,Niraj Chhaganraj Gemawat,Promoter and Director,200,"144,000.00",18.31%,19-06-2026,19-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_21310_20260620_133027293_WEB.html
NINSYS,Nintec Systems Limited,Niraj Chhaganraj Gemawat,Promoter and Director,1000,"720,000.00",18.32%,19-06-2026,19-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_21310_20260620_133027293_WEB.html
NINSYS,Nintec Systems Limited,Niraj Chhaganraj Gemawat,Promoter and Director,300,"216,000.00",18.32%,19-06-2026,19-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_21310_20260620_133027293_WEB.html
MAZDA,MAZDA LIMITED,SHANAYA MODY KHATUA,Promoter and Director,7000,"1,686,886.00",31.56%,18-06-2026,18-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_14337_20260620_124857992_WEB.html
VISAKAIND,Visaka Industries Limited,VIGILANCE SECURITY SERVICES PRIVATE LIMITED,Promoter Group,43,"3,323.00",4.98%,18-06-2026,18-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_1388_20260619_135416577_WEB.html
AURUM,Aurum PropTech Limited,Aurum RealEstate Developers Limited,Promoter,20000,"4,005,342.00",47.84%,18-06-2026,18-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_12987_20260619_104117399_WEB.html
INDIQUBE,Indiqube Spaces Limited,MEGHNA AGARWAL,Promoter and Director,2000,"306,302.00",15.89%,12-06-2026,12-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_25080_20260618_205216567_WEB.html
PNGSREVA,PNGS REVA DIAMOND JEWELLERY LIMITED,P. N. Gadgil & Sons Limited,Promoter,45000,"17,424,450.00",13.91%,18-06-2026,18-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_26347_20260618_180612524_WEB.html
MSPL,MSP STEEL & POWER LIMITED,M A Hire Purchase Private Limited,Promoter Group,2400000,"100,796,400.00",3.03%,12-06-2026,15-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_2306_20260618_171827641_WEB.html
MSPL,MSP STEEL & POWER LIMITED,Shree Vinay Finvest P Ltd.,Promoter Group,400000,"16,587,600.00",3.91%,12-06-2026,12-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_2306_20260618_171827641_WEB.html
MSPL,MSP STEEL & POWER LIMITED,Sampat Marketing Company Pvt Ltd,Promoter Group,1025000,"42,828,848.00",2.30%,12-06-2026,15-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_2306_20260618_171827641_WEB.html
APLLTD,Alembic Pharmaceuticals Limited,Nirayu Private Limited,Promoter Group,24832,"18,533,069.00",35.78%,16-06-2026,17-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_5232_20260618_121640491_WEB.html
GANDHAR,GANDHAR OIL REFINERY (INDIA) LIMITED,Ramesh Babulal Parekh,Promoter and Director,50000,"7,976,605.00",28.74%,16-06-2026,16-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_21453_20260618_104913026_WEB.html
RSL,RAJPUTANA STAINLESS LIMITED,YASHKUMAR SHANKARLAL MEHTA,Promoter,50000,"6,545,735.00",0.06%,16-06-2026,16-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_25166_20260617_175043548_WEB.html
MBEL,M & B Engineering Limited,Birva Chirag Patel,Promoter and Director,10000,"3,065,597.00",7.03%,16-06-2026,16-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_24557_20260617_090124455_WEB.html
MBEL,M & B Engineering Limited,Umaben Girishbhai Patel,Promoter Group,10000,"3,095,979.00",2.83%,16-06-2026,16-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_24557_20260617_090124455_WEB.html
GOKUL,GOKUL REFOILS AND SOLVENT LIMITED,Bhikhiben Balvantsinh Rajput,Promoter,1444,"59,356.00",22.98%,15-06-2026,15-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_2754_20260616_182816621_WEB.html
GOKUL,GOKUL REFOILS AND SOLVENT LIMITED,Bhikhiben Balvantsinh Rajput,Promoter,6456,"265,349.00",22.99%,15-06-2026,15-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_2754_20260616_182816621_WEB.html
MOTOGENFIN,THE MOTOR & GENERAL FINANCE LIMITED,RAM PRAKASH & CO.(P) LTD,Promoter Group,22826,"659,216.00",7.53%,16-06-2026,16-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_279_20260616_165300075_WEB.html
AURUM,Aurum PropTech Limited,Aurum RealEstate Developers Limited,Promoter,25000,"4,813,908.00",47.81%,15-06-2026,15-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_12987_20260616_104415700_WEB.html
GRMOVER,GRM OVERSEAS LIMITED,Atul Garg,Promoter and Director,450000,"42,332,394.00",20.91%,12-06-2026,12-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20861_20260615_183439947_WEB.html
STEL,STEL HOLDINGS LIMITED,LEBNITZE REAL ESTATES PVT LTD,Promoter Group,2074,"1,149,599.00",2.99%,12-06-2026,12-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_4020_20260615_105422832_WEB.html
STEL,STEL HOLDINGS LIMITED,LEBNITZE REAL ESTATES PVT LTD,Promoter Group,173,"95,892.00",2.99%,12-06-2026,12-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_4020_20260615_105422832_WEB.html
SBCL,SHIVALIK BIMETAL CONTROLS LIMITED,Sumer Ghumman,Promoter and Director,2200,"1,483,929.00",3.78%,11-06-2026,11-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20260613_144100670_WEB.html
THOMASCOOK,THOMAS COOK (INDIA) LIMITED,FAIRBRIDGE CAPITAL MAURITIUS LIMITED,Promoter,1606456,"183,763,305.00",64.76%,10-06-2026,10-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20260612_173816029_WEB.html
THOMASCOOK,THOMAS COOK (INDIA) LIMITED,FAIRBRIDGE CAPITAL MAURITIUS LIMITED,Promoter,77341,"8,348,760.00",64.77%,11-06-2026,11-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20260612_173816029_WEB.html
STEL,STEL HOLDINGS LIMITED,LEBNITZE REAL ESTATES PVT LTD,Promoter Group,4287,"2,288,298.00",2.93%,10-06-2026,10-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20260612_173428796_WEB.html
MOTOGENFIN,THE MOTOR & GENERAL FINANCE LIMITED,RAM PRAKASH & CO.(P) LTD,Promoter Group,25000,"748,584.00",7.47%,12-06-2026,12-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20260612_154834988_WEB.html
VSTL,VIBHOR STEEL TUBES LIMITED,VIJAY KUMAR KAUSHIK,Promoter and Director,4200,"496,796.00",21.98%,11-06-2026,11-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20260612_105846244_WEB.html
NCLIND,NCL INDUSTRIES LIMITED,Kalidindi Ravi,Promoter and Director,4873,"896,388.00",6.98%,10-06-2026,10-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20260611_165828642_WEB.html
GRMOVER,GRM OVERSEAS LIMITED,Atul Garg,Promoter and Director,150000,"18,299,025.00",20.58%,08-06-2026,08-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20260611_165032453_WEB.html
VSTL,VIBHOR STEEL TUBES LIMITED,VIJAY KUMAR KAUSHIK,Promoter and Director,5446,"648,405.00",21.96%,10-06-2026,10-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20260611_151119145_WEB.html
MSPL,MSP STEEL & POWER LIMITED,Sampat Marketing Company Pvt Ltd,Promoter Group,700000,"28,963,830.00",2.12%,04-06-2026,04-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20260611_135335765_WEB.html
MSPL,MSP STEEL & POWER LIMITED,Shree Vinay Finvest P Ltd.,Promoter Group,2850000,"117,572,474.00",3.47%,04-06-2026,08-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20260611_135335765_WEB.html
MSPL,MSP STEEL & POWER LIMITED,Ilex Private Limited,Promoter Group,1660000,"68,971,086.00",2.68%,05-06-2026,08-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20260611_135335765_WEB.html
NIITMTS,NIIT Learning Systems Limited,Pawar Family Trust (Through its Trustee Rajendra Singh Pawar),Promoter Group,37500,"8,404,125.00",16.40%,08-06-2026,08-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20260610_173906614_WEB.html
NIITMTS,NIIT Learning Systems Limited,Pawar Family Trust (Through its Trustee Rajendra Singh Pawar),Promoter Group,18794,"4,240,490.00",16.42%,09-06-2026,09-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20260610_173906614_WEB.html
NIITMTS,NIIT Learning Systems Limited,Thadani Family Trust (Through its Trustee Vijay Kumar Thadani),Promoter Group,37500,"8,406,750.00",16.80%,08-06-2026,08-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20260610_173906614_WEB.html
NIITMTS,NIIT Learning Systems Limited,Thadani Family Trust (Through its Trustee Vijay Kumar Thadani),Promoter Group,18794,"4,243,497.00",16.82%,09-06-2026,09-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20260610_173906614_WEB.html
LANDMARK,Landmark Cars Limited,Aryaman Sanjay Thakker,Promoter Group,5000,"2,106,684.00",0.11%,10-06-2026,10-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20260610_171813254_WEB.html
NIITLTD,NIIT Limited,Pawar Family Trust,Promoter Group,585000,"54,584,250.00",19.60%,05-06-2026,08-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20260610_155432585_WEB.html
NIITLTD,NIIT Limited,Thadani Family Trust,Promoter Group,585000,"54,592,200.00",20.00%,05-06-2026,08-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20260610_155432585_WEB.html
NIITLTD,NIIT Limited,Pawar Family Trust,Promoter Group,170500,"16,523,155.00",19.72%,09-06-2026,09-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20260610_155432585_WEB.html
NIITLTD,NIIT Limited,Thadani Family Trust,Promoter Group,170500,"16,528,270.00",20.12%,09-06-2026,09-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20260610_155432585_WEB.html
STEL,STEL HOLDINGS LIMITED,LEBNITZE REAL ESTATES PVT LTD,Promoter Group,4356,"2,208,407.00",2.90%,08-06-2026,08-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20260610_145922953_WEB.html
STEL,STEL HOLDINGS LIMITED,LEBNITZE REAL ESTATES PVT LTD,Promoter Group,413,"209,381.00",2.90%,08-06-2026,08-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20260610_145922953_WEB.html
STEL,STEL HOLDINGS LIMITED,LEBNITZE REAL ESTATES PVT LTD,Promoter Group,562,"292,565.00",2.91%,09-06-2026,09-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20260610_145922953_WEB.html
SINCLAIR,SINCLAIRS HOTELS LIMITED,NAVIN CHAND SUCHANTI,Promoter,30531,"2,314,026.00",6.91%,08-06-2026,09-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20260610_134246682_WEB.html
AEROENTER,AEROFLEX ENTERPRISES LIMITED,A Flex Invest Private Limited,Promoter Group,174000,"17,824,560.00",6.99%,08-06-2026,09-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20260609_190841484_WEB.html
MSPL,MSP STEEL & POWER LTD,Ginny Traders Private Limited,Promoter Group,2350000,"99,400,300.00",1.90%,02-06-2026,02-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20260609_173556529_WEB.html
MSPL,MSP STEEL & POWER LTD,Sampat Marketing Company Pvt Ltd,Promoter Group,1105000,"45,640,581.00",1.99%,02-06-2026,03-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20260609_173556529_WEB.html
VSTL,VIBHOR STEEL TUBES LIMITED,VIJAY KUMAR KAUSHIK,Promoter and Director,7350,"853,528.00",21.91%,08-06-2026,08-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20260609_145300807_WEB.html
STANLEY,STANLEY LIFESTYLES LIMITED,Sunil Suresh,Promoter and Director,101000,"14,688,935.00",28.47%,03-06-2026,03-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20260608_182822508_WEB.html
TIGERLOGS,Tiger Logistics (India) Limited,Brahma Suppliers Private Limited,Promoter Group,10000,"348,071.00",33.13%,05-06-2026,05-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20260608_181230600_WEB.html
MOTOGENFIN,THE MOTOR & GENERAL FINANCE LIMITED,RAM PRAKASH & CO.(P) LTD,Promoter Group,16000,"464,317.00",7.04%,08-06-2026,08-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20260608_151956543_WEB.html
AURUM,Aurum PropTech Limited,Aurum RealEstate Developers Limited,Promoter,25000,"4,788,163.00",47.70%,05-06-2026,05-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20260608_104543322_WEB.html
JARO,JARO INSTITUTE OF TECHNOLOGY MANAGEMENT AND RESEARCH LIMITED,Sanjay Namdeo Salunkhe,Promoter,52154,"31,878,767.00",55.07%,04-06-2026,04-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20260606_192834631_WEB.html
TIGERLOGS,Tiger Logistics (India) Limited,Brahma Suppliers Private Limited,Promoter Group,15322,"508,853.00",33.12%,04-06-2026,04-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20260605_203352505_WEB.html
TIGERLOGS,Tiger Logistics (India) Limited,Brahma Suppliers Private Limited,Promoter Group,4678,"156,522.00",33.12%,04-06-2026,04-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20260605_203352505_WEB.html
PNGSREVA,PNGS REVA DIAMOND JEWELLERY LIMITED,P. N. Gadgil & Sons Limited,Promoter,160000,"62,652,800.00",13.77%,05-06-2026,05-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20260605_184800764_WEB.html
LAOPALA,LA OPALA RG LIMITED,GENESIS EXPORTS PRIVATE LIMITED,Promoter,45000,"7,882,532.00",47.03%,03-06-2026,04-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20260605_170826638_WEB.html
NCLIND,NCL INDUSTRIES LIMITED,Kalidindi Ravi,Promoter and Director,3000,"540,000.00",6.85%,04-06-2026,04-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20260605_123315120_WEB.html
GEMAROMA,Gem Aromatics Limited,Yash Parekh,Promoter and Director,85000,"12,669,497.00",9.54%,04-06-2026,04-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20260604_180434521_WEB.html
STEL,STEL HOLDINGS LIMITED,LEBNITZE REAL ESTATES PVT LTD,Promoter Group,4486,"2,146,524.00",2.81%,02-06-2026,02-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20260604_173300329_WEB.html
STEL,STEL HOLDINGS LIMITED,LEBNITZE REAL ESTATES PVT LTD,Promoter Group,897,"431,434.00",2.82%,02-06-2026,02-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20260604_173300329_WEB.html
STEL,STEL HOLDINGS LIMITED,LEBNITZE REAL ESTATES PVT LTD,Promoter Group,2984,"1,463,409.00",2.83%,03-06-2026,03-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20260604_173300329_WEB.html
STEL,STEL HOLDINGS LIMITED,LEBNITZE REAL ESTATES PVT LTD,Promoter Group,267,"130,941.00",2.83%,03-06-2026,03-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20260604_173300329_WEB.html
MOTOGENFIN,THE MOTOR & GENERAL FINANCE LIMITED,RAM PRAKASH & CO.(P) LTD,Promoter Group,50293,"1,378,869.00",6.84%,04-06-2026,04-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20260604_155934585_WEB.html
JARO,JARO INSTITUTE OF TECHNOLOGY MANAGEMENT AND RESEARCH LIMITED,Sanjay Namdeo Salunkhe,Promoter,56531,"33,582,185.00",54.84%,03-06-2026,03-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20260604_141044617_WEB.html
GEMAROMA,Gem Aromatics Limited,Yash Parekh,Promoter and Director,143760,"21,811,670.00",9.38%,02-06-2026,02-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20260604_123410605_WEB.html
AURUM,Aurum PropTech Limited,Aurum RealEstate Developers Limited,Promoter,25000,"4,512,929.00",47.64%,03-06-2026,03-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20260604_104436607_WEB.html
MOTOGENFIN,THE MOTOR & GENERAL FINANCE LIMITED,RAM PRAKASH & CO.(P) LTD,Promoter Group,46487,"1,240,526.00",6.70%,03-06-2026,03-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20260603_163350626_WEB.html
LAOPALA,LA OPALA RG LIMITED,GENESIS EXPORTS PRIVATE LIMITED,Promoter,60000,"10,329,744.00",46.99%,02-06-2026,02-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20260603_150442603_WEB.html
LANDMARK,Landmark Cars Limited,Aryaman Sanjay Thakker,Promoter Group,10000,"3,702,960.00",0.08%,02-06-2026,02-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20260602_182149864_WEB.html
JARO,JARO INSTITUTE OF TECHNOLOGY MANAGEMENT AND RESEARCH LIMITED,Sanjay Namdeo Salunkhe,Promoter,13669,"7,692,963.00",54.48%,29-05-2026,29-05-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20260602_003800859_WEB.html
PARADEEP,PARADEEP PHOSPHATES LIMITED,ZUARI MAROC PHOSPHATES PRIVATE LIMITED,Promoter,80000,"10,168,800.00",50.36%,29-05-2026,29-05-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20260602_003635468_WEB.html
PARADEEP,PARADEEP PHOSPHATES LIMITED,ZUARI MAROC PHOSPHATES PRIVATE LIMITED,Promoter,80000,"10,208,800.00",50.35%,26-05-2026,26-05-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20260527_124732_WEB.html
FIBERWEB,Fiberweb (India) Limited,Pravin V Sheth,Promoter and Director,10000,"291,869.00",5.81%,21-05-2026,21-05-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20260525_125628_WEB.html
