Symbol,CompanyName,ValuePurchased,ReportedBuyQty,ReportedBuyTxn,acqtoDt,TotalQty,NumBuyTxn,PricedValuePurchased,AvgPrice,MissingValueQty,MissingValueTxn,ValueCr,MarketBuyValue,MarketSellValue,NetBuyValue,SellBuyRatioPct,HasMarketSell,SellBuyExclusion,HasPledging,LastPrice,52WeekHigh,52WeekLow,PromoHolding,DMA50,DMA200,SixMonthReturn,PriceDiffPct,AbsDiffPct,FirstBuyDate,LastBuyDate,FirstBuyPrice,LastBuyPrice,WeightedAvgBuyPrice,AccumulationDays,DaysSinceFirstBuy,DaysSinceLastBuy,BuyTxn7D,BuyTxn15D,BuyTxn30D,BuyTxn60D,BuyTxn90D,BuyValue7D,BuyValue15D,BuyValue30D,BuyValue60D,BuyValue90D,NetBuyValue7D,NetBuyValue30D,UniquePromotersBuying,UniquePromotersSelling,BuyAcceleration,Freshness,AccumulationStage,PromoterAvgPrice,CMPvsPromoterAvgPct,SignalStage,MarketCapCr,PE,RevGrowthPct,EBITDAGrowthPct,PATGrowthPct,EPSGrowthPct,ROCEPct,DE_Ratio,OCFPositive,OPMPct,PromoConvictionPct,ScorePromo,ScoreFund,ScoreTech,ScoreRisk,Score,Category
GOKUL,GOKUL REFOILS AND SOLVENT LIMITED,12171465.0,285600.0,16,02-09-2026,285600.0,16,12171465.0,42.62,0.0,0,1.22,12171465.0,0.0,12171465.0,0.0,False,False,False,42.03,,,71.79,40.79,39.8,3.9,-1.4,1.4,11-06-2026,02-09-2026,40.94090909090909,41.23762857142857,42.05135296540362,83,93,10,0,12,14,14,20,0.0,14565821.0,18176355.0,18176355.0,19366913.0,0.0,18176355.0,1,0,0.0,Active,Confirmed Accumulation,42.05135296540362,-0.1,Confirmed Accumulation,416.0,103.0,246.0,0.91,10.0,0.14,2.16,0.0,False,4.21,0.293,25,8,20,-5,48,Watchlist
BERGEPAINT,BERGER PAINTS (I) LIMITED,48436318.0,98938.0,5,07-09-2026,98938.0,5,48436318.0,489.56,0.0,0,4.84,48436318.0,0.0,48436318.0,0.0,False,False,False,458.05,,,75.0,509.09,497.37,4.9,-6.4,6.4,07-09-2026,07-09-2026,485.14018597129575,486.4111749009461,489.56233196547333,0,5,5,5,5,5,5,5,48436318.0,48436318.0,48436318.0,48436318.0,48436318.0,48436318.0,48436318.0,5,0,1.0,Fresh,Early Accumulation,489.56233196547333,-6.4,Early Accumulation,53409.0,45.2,5.0,562.0,8.0,3.16,22.9,0.07,True,17.0,0.009,20,18,10,0,48,Watchlist
HCLTECH,HCL Technologies Limited,52192113.0,47261.0,1,12-06-2026,47261.0,1,52192113.0,1104.34,0.0,0,5.22,52192113.0,0.0,52192113.0,0.0,False,False,False,1206.1,,,60.82,1282.03,1380.71,-11.4,9.2,9.2,12-06-2026,12-06-2026,1104.337889591841,1104.337889591841,1104.337889591841,0,92,92,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,Stale,Stale Accumulation,1104.337889591841,9.2,Late — Poor Entry,327295.0,18.0,7.0,4158.0,44.0,25.89,53.4,0.04,True,29.0,0.002,12,30,5,0,47,Watchlist
VIVIANA,VIVIANA POWER TECH LIMITED,12408320.0,15222.0,3,29-06-2026,15222.0,3,12408320.0,815.16,0.0,0,1.24,12408320.0,0.0,12408320.0,0.0,False,False,False,752.15,,,73.2,735.47,,-17.3,-7.7,7.7,19-06-2026,29-06-2026,792.1204188481676,827.541219456497,815.1570095913809,10,85,75,0,0,0,0,3,0.0,0.0,0.0,0.0,12408320.0,0.0,0.0,2,0,0.0,Stale,Stale Accumulation,815.1570095913809,-7.7,Late — Poor Entry,762.0,13.8,185.0,11.55,204.0,6.84,50.7,0.81,True,16.07,0.163,20,22,5,0,47,Watchlist
GANESHCP,GANESH CONSUMER PRODUCTS LIMITED,33968886.0,179300.0,5,02-09-2026,179300.0,5,33968886.0,189.45,0.0,0,3.4,33968886.0,0.0,33968886.0,0.0,False,False,False,167.36,,,64.08,171.92,195.08,-3.4,-11.7,11.7,19-06-2026,02-09-2026,199.3987,167.22016666666667,189.45279419966536,75,85,10,0,1,2,2,5,0.0,3009963.0,8001009.0,8001009.0,33968886.0,0.0,8001009.0,2,0,0.0,Active,Confirmed Accumulation,189.45279419966536,-11.7,Confirmed Accumulation,676.0,14.9,-1.0,21.0,45.0,3.1,19.3,0.07,True,11.0,0.503,20,25,0,0,45,Watchlist
OMPOWER,Om Power Transmission Limited,7447179.0,40763.0,3,24-06-2026,40763.0,3,7447179.0,182.69,0.0,0,0.74,7447179.0,0.0,7447179.0,0.0,False,False,False,171.54,,,69.05,169.73,,-11.3,-6.1,6.1,24-06-2026,24-06-2026,182.8989522537093,181.8687130477039,182.6945759634963,0,80,80,0,0,0,0,3,0.0,0.0,0.0,0.0,7447179.0,0.0,0.0,3,0,0.0,Stale,Stale Accumulation,182.6945759634963,-6.1,Late — Poor Entry,587.0,13.9,61.0,15.0,82.0,3.07,42.7,0.35,False,12.0,0.126,20,19,5,0,44,Watchlist
ARSSBL,Anand Rathi Share and Stock Brokers Limited,10900691.0,20000.0,1,16-06-2026,20000.0,1,10900691.0,545.03,0.0,0,1.09,10900691.0,0.0,10900691.0,0.0,False,False,False,490.25,,,69.9,521.58,554.23,-0.6,-10.1,10.1,16-06-2026,16-06-2026,545.03455,545.03455,545.03455,0,88,88,0,0,0,0,2,0.0,0.0,0.0,0.0,21801382.0,0.0,0.0,1,0,0.0,Stale,Stale Accumulation,545.03455,-10.1,Late — Poor Entry,3092.0,21.0,17.0,97.0,53.0,3.73,19.8,0.62,True,40.0,0.035,17,27,0,0,44,Watchlist
SGIL,SYNERGY GREEN INDUSTRIES LIMITED,2136192.0,3600.0,2,07-09-2026,3600.0,2,2136192.0,593.39,0.0,0,0.21,2136192.0,0.0,2136192.0,0.0,False,False,False,592.2,,,74.02,590.46,545.01,17.9,-0.2,0.2,28-08-2026,07-09-2026,585.0,603.87,593.3866666666667,10,15,5,1,1,2,2,2,966192.0,966192.0,2136192.0,2136192.0,2136192.0,966192.0,2136192.0,2,0,0.4523,Fresh,Early Accumulation,593.3866666666667,-0.2,Early Accumulation,920.0,,-2.0,5.0,-152.0,-6.5,9.24,2.23,True,6.0,0.023,17,6,20,0,43,Watchlist
MOTOGENFIN,THE MOTOR & GENERAL FINANCE LIMITED,4291045.0,143986.0,8,25-06-2026,143986.0,8,4291045.0,29.8,0.0,0,0.43,4291045.0,0.0,4291045.0,0.0,False,False,False,25.59,,,69.03,27.13,24.71,29.0,-14.1,14.1,12-06-2026,25-06-2026,29.94336,30.0,29.726583384474562,13,92,79,0,0,0,0,10,0.0,0.0,0.0,0.0,4967184.0,0.0,0.0,1,0,0.0,Stale,Stale Accumulation,29.726583384474562,-13.9,Late — Poor Entry,,71.3,-1.0,0.4,26.0,0.59,-0.18,0.0,False,21.51,,20,10,15,-3,42,Watchlist
TRUALT,TRUALT BIOENERGY LIMITED,90654107.0,191106.0,4,12-08-2026,191106.0,4,90654107.0,474.37,0.0,0,9.07,90654107.0,0.0,90654107.0,0.0,False,False,False,416.35,,,70.55,441.24,432.44,11.4,-12.2,12.2,05-08-2026,12-08-2026,462.97976851851854,467.56,475.4872141909269,7,38,31,0,0,0,6,6,0.0,0.0,0.0,161956651.0,161956651.0,0.0,0.0,1,0,0.0,Aging,Mature Accumulation,475.4872141909269,-12.4,Mature — Wait for Pullback,3570.0,25.0,2.0,127.0,-14.0,6.41,9.89,1.05,False,21.0,0.254,25,5,10,0,40,Watchlist
BMWVENTLTD,BMW VENTURES LIMITED,5107928.0,85000.0,1,05-08-2026,85000.0,1,5107928.0,60.09,0.0,0,0.51,5107928.0,0.0,5107928.0,0.0,False,False,False,54.05,,,73.01,57.31,58.62,-4.8,-10.1,10.1,05-08-2026,05-08-2026,60.09327058823529,60.09327058823529,60.09327058823529,0,38,38,0,0,0,2,2,0.0,0.0,0.0,10215856.0,10215856.0,0.0,0.0,1,0,0.0,Aging,Mature Accumulation,60.09327058823529,-10.1,Mature — Wait for Pullback,469.0,11.7,19.0,21.0,20.0,1.22,12.0,0.58,True,3.4,0.109,17,23,0,-2,38,Fundamental Watch
JINDALSTEL,JINDAL STEEL LIMITED,92111332.0,79600.0,1,03-09-2026,79600.0,1,92111332.0,1157.18,0.0,0,9.21,92111332.0,0.0,92111332.0,0.0,False,False,False,1120.5,,,61.21,1099.09,1128.9,-5.6,-3.2,3.2,03-09-2026,03-09-2026,1157.1775376884423,1157.1775376884423,1157.1775376884423,0,9,9,0,1,1,1,1,0.0,92111332.0,92111332.0,92111332.0,92111332.0,0.0,92111332.0,1,0,0.0,Active,Mature Accumulation,1157.1775376884423,-3.2,Confirmed Accumulation,114301.0,32.9,18.0,2224.0,-28.0,10.65,10.8,0.16,True,15.0,0.008,12,19,5,0,36,Fundamental Watch
GRMOVER,GRM OVERSEAS LIMITED,90410304.0,987827.0,5,24-06-2026,987827.0,5,90410304.0,91.52,0.0,0,9.04,90410304.0,0.0,90410304.0,0.0,False,False,False,84.45,,,71.72,90.31,172.86,-46.0,-7.7,7.7,11-06-2026,24-06-2026,87.27305576189457,91.21972,91.48426078832722,13,93,80,0,0,0,0,3,0.0,0.0,0.0,0.0,36654252.0,0.0,0.0,2,0,0.0,Stale,Stale Accumulation,91.48426078832722,-7.7,Late — Poor Entry,1750.0,31.6,39.0,31.0,8.0,0.9,11.3,0.67,False,9.0,0.517,25,10,0,0,35,Fundamental Watch
MBEL,M & B Engineering Limited,12860369.0,44000.0,4,16-06-2026,44000.0,4,12860369.0,292.28,0.0,0,1.29,12860369.0,0.0,12860369.0,0.0,False,False,False,254.2,,,70.45,289.4,316.3,-15.4,-13.0,13.0,11-06-2026,16-06-2026,283.0559166666667,309.5979,297.217890625,5,93,88,0,0,0,0,4,0.0,0.0,0.0,0.0,12323152.0,0.0,0.0,4,0,0.0,Stale,Stale Accumulation,297.217890625,-14.5,Late — Poor Entry,1453.0,18.4,13.0,21.0,-4.0,2.56,19.9,0.13,False,8.0,0.089,20,12,0,0,32,Fundamental Watch
WCIL,WESTERN CARRIERS (INDIA) LIMITED,4706679.0,46106.0,4,30-06-2026,46106.0,4,4706679.0,102.08,0.0,0,0.47,4706679.0,0.0,4706679.0,0.0,False,False,False,87.51,,,71.89,89.03,102.38,-10.7,-14.3,14.3,16-06-2026,30-06-2026,99.68,100.7,102.08387194725198,14,88,74,0,0,0,0,4,0.0,0.0,0.0,0.0,4706679.0,0.0,0.0,1,0,0.0,Stale,Stale Accumulation,102.08387194725198,-14.3,Late — Poor Entry,892.0,24.3,9.0,18.68,-36.0,0.85,6.79,0.26,False,4.02,0.053,20,8,0,-2,26,Avoid
TIGERLOGS,Tiger Logistics (India) Limited,5577048.0,154000.0,7,24-08-2026,154000.0,7,5577048.0,36.21,0.0,0,0.56,5577048.0,0.0,5577048.0,0.0,False,False,False,27.16,,,61.81,29.55,32.68,-2.7,-25.0,25.0,15-06-2026,24-08-2026,35.2964,29.75,36.214597402597406,70,89,19,0,0,1,1,7,0.0,0.0,743750.0,743750.0,5577048.0,0.0,743750.0,1,0,0.0,Active,Confirmed Accumulation,36.214597402597406,-25.0,Confirmed Accumulation,287.0,15.2,16.0,2.79,-30.0,0.21,17.6,0.31,False,1.83,0.195,15,12,0,-2,25,Avoid
